date,symbol,iv_1W,iv_1M,iv_3M,iv_6M,iv_1Y
2023-02-07,AUDUSD,11.38,11.96,12.55,12.92,13.38
2023-02-07,EURUSD,7.78,8.18,8.59,8.84,9.15
2023-02-07,GBPUSD,9.33,9.81,10.30,10.60,10.98
2023-02-07,USDCNH,6.78,7.13,7.48,7.70,7.98
2023-02-07,USDJPY,10.82,11.38,11.94,12.30,12.74
2023-02-08,AUDUSD,11.52,12.11,12.71,13.08,13.55
2023-02-08,EURUSD,7.89,8.30,8.71,8.97,9.28
2023-02-08,GBPUSD,9.47,9.96,10.45,10.76,11.14
2023-02-08,USDCNH,6.88,7.23,7.59,7.82,8.09
2023-02-08,USDJPY,10.95,11.52,12.09,12.45,12.89
2023-02-09,AUDUSD,11.35,11.93,12.52,12.89,13.35
2023-02-09,EURUSD,7.75,8.15,8.56,8.81,9.12
2023-02-09,GBPUSD,9.30,9.78,10.27,10.57,10.95
2023-02-09,USDCNH,6.75,7.10,7.45,7.67,7.94
2023-02-09,USDJPY,10.79,11.34,11.91,12.26,12.70
2023-02-10,AUDUSD,11.21,11.79,12.36,12.73,13.18
2023-02-10,EURUSD,7.64,8.03,8.43,8.68,8.99
2023-02-10,GBPUSD,9.16,9.64,10.12,10.42,10.79
2023-02-10,USDCNH,6.64,6.98,7.33,7.55,7.81
2023-02-10,USDJPY,10.65,11.19,11.74,12.09,12.52
2023-02-13,AUDUSD,11.05,11.62,12.18,12.55,13.00
2023-02-13,EURUSD,7.51,7.90,8.29,8.53,8.83
2023-02-13,GBPUSD,9.01,9.48,9.95,10.24,10.60
2023-02-13,USDCNH,6.52,6.86,7.20,7.41,7.67
2023-02-13,USDJPY,10.49,11.03,11.58,11.92,12.35
2023-02-14,AUDUSD,10.88,11.44,12.00,12.35,12.79
2023-02-14,EURUSD,7.38,7.76,8.15,8.39,8.69
2023-02-14,GBPUSD,8.85,9.31,9.77,10.06,10.41
2023-02-14,USDCNH,6.40,6.73,7.07,7.27,7.53
2023-02-14,USDJPY,10.33,10.86,11.40,11.74,12.16
2023-02-15,AUDUSD,10.72,11.27,11.82,12.17,12.61
2023-02-15,EURUSD,7.25,7.62,8.00,8.24,8.53
2023-02-15,GBPUSD,8.70,9.15,9.60,9.88,10.23
2023-02-15,USDCNH,6.28,6.61,6.93,7.14,7.39
2023-02-15,USDJPY,10.18,10.70,11.23,11.56,11.98
2023-02-16,AUDUSD,10.58,11.12,11.67,12.01,12.44
2023-02-16,EURUSD,7.14,7.51,7.88,8.11,8.40
2023-02-16,GBPUSD,8.57,9.01,9.46,9.73,10.08
2023-02-16,USDCNH,6.18,6.50,6.82,7.02,7.27
2023-02-16,USDJPY,10.04,10.56,11.08,11.41,11.82
2023-02-17,AUDUSD,10.75,11.30,11.85,12.21,12.64
2023-02-17,EURUSD,7.28,7.66,8.04,8.28,8.57
2023-02-17,GBPUSD,8.74,9.19,9.65,9.93,10.28
2023-02-17,USDCNH,6.32,6.65,6.98,7.18,7.44
2023-02-17,USDJPY,10.21,10.74,11.27,11.60,12.02
2023-02-21,AUDUSD,10.62,11.17,11.71,12.06,12.49
2023-02-21,EURUSD,7.18,7.55,7.93,8.16,8.45
2023-02-21,GBPUSD,8.61,9.05,9.50,9.78,10.13
2023-02-21,USDCNH,6.22,6.54,6.87,7.07,7.32
2023-02-21,USDJPY,10.08,10.60,11.12,11.45,11.86
2023-02-22,AURUSD,10.48,11.02,11.56,11.90,12.33
2023-02-22,EURUSD,7.05,7.41,7.78,8.01,8.29
2023-02-22,GBPUSD,8.46,8.89,9.34,9.61,9.95
2023-02-22,USDCNH,6.10,6.42,6.74,6.93,7.18
2023-02-22,USDJPY,9.95,10.46,10.98,11.30,11.71
2023-02-23,AUDUSD,10.65,11.20,11.74,12.09,12.53
2023-02-23,EURUSD,7.21,7.58,7.96,8.19,8.48
2023-02-23,GBPUSD,8.65,9.10,9.55,9.83,10.18
2023-02-23,USDCNH,6.25,6.57,6.90,7.10,7.35
2023-02-23,USDJPY,10.11,10.64,11.16,11.49,11.91
2023-02-24,AUDUSD,10.82,11.38,11.92,12.28,12.72
2023-02-24,EURUSD,7.35,7.73,8.11,8.35,8.65
2023-02-24,GBPUSD,8.82,9.27,9.74,10.02,10.38
2023-02-24,USDCNH,6.40,6.73,7.07,7.28,7.53
2023-02-24,USDJPY,10.28,10.81,11.35,11.68,12.10
2023-02-27,AUDUSD,10.95,11.52,12.08,12.44,12.88
2023-02-27,EURUSD,7.45,7.83,8.23,8.47,8.77
2023-02-27,GBPUSD,8.94,9.40,9.87,10.16,10.52
2023-02-27,USDCNH,6.50,6.84,7.18,7.39,7.65
2023-02-27,USDJPY,10.41,10.95,11.49,11.83,12.26
2023-02-28,AUDUSD,11.12,11.69,12.27,12.63,13.08
2023-02-28,EURUSD,7.58,7.97,8.37,8.61,8.92
2023-02-28,GBPUSD,9.10,9.56,10.04,10.34,10.70
2023-02-28,USDCNH,6.62,6.96,7.31,7.52,7.79
2023-02-28,USDJPY,10.58,11.12,11.67,12.01,12.44
2023-03-01,AUDUSD,11.28,11.86,12.44,12.81,13.27
2023-03-01,EURUSD,7.72,8.12,8.52,8.77,9.08
2023-03-01,GBPUSD,9.26,9.74,10.22,10.52,10.89
2023-03-01,USDCNH,6.75,7.10,7.45,7.67,7.94
2023-03-01,USDJPY,10.75,11.30,11.86,12.21,12.65
2023-03-02,AUDUSD,11.15,11.72,12.29,12.66,13.11
2023-03-02,EURUSD,7.62,8.01,8.41,8.66,8.97
2023-03-02,GBPUSD,9.14,9.61,10.09,10.39,10.76
2023-03-02,USDCNH,6.65,6.99,7.34,7.56,7.82
2023-03-02,USDJPY,10.62,11.17,11.72,12.06,12.49
2023-03-03,AUDUSD,10.98,11.55,12.11,12.47,12.92
2023-03-03,EURUSD,7.48,7.87,8.26,8.50,8.80
2023-03-03,GBPUSD,8.98,9.44,9.91,10.21,10.57
2023-03-03,USDCNH,6.52,6.85,7.20,7.41,7.67
2023-03-03,USDJPY,10.45,10.99,11.54,11.87,12.30
2023-03-06,AUDUSD,11.35,11.93,12.52,12.89,13.35
2023-03-06,EURUSD,7.78,8.18,8.59,8.84,9.15
2023-03-06,GBPUSD,9.34,9.82,10.31,10.61,10.99
2023-03-06,USDCNH,6.78,7.13,7.49,7.71,7.98
2023-03-06,USDJPY,10.82,11.38,11.94,12.30,12.74
2023-03-07,AUDUSD,11.68,12.28,12.88,13.26,13.74
2023-03-07,EURUSD,8.05,8.47,8.89,9.15,9.48
2023-03-07,GBPUSD,9.66,10.16,10.67,10.98,11.37
2023-03-07,USDCNH,7.02,7.38,7.75,7.98,8.26
2023-03-07,USDJPY,11.15,11.72,12.30,12.66,13.12
2023-03-08,AUDUSD,11.95,12.57,13.18,13.57,14.06
2023-03-08,EURUSD,8.28,8.71,9.14,9.41,9.74
2023-03-08,GBPUSD,9.94,10.45,10.97,11.29,11.69
2023-03-08,USDCNH,7.22,7.60,7.97,8.21,8.50
2023-03-08,USDJPY,11.42,12.01,12.60,12.97,13.44
2023-03-09,AUDUSD,12.25,12.88,13.51,13.91,14.41
2023-03-09,EURUSD,8.52,8.96,9.41,9.68,10.02
2023-03-09,GBPUSD,10.22,10.75,11.28,11.61,12.02
2023-03-09,USDCNH,7.45,7.83,8.22,8.47,8.77
2023-03-09,USDJPY,11.72,12.32,12.93,13.31,13.79
2023-03-10,AUDUSD,12.55,13.19,13.84,14.25,14.76
2023-03-10,EURUSD,8.78,9.23,9.69,9.98,10.33
2023-03-10,GBPUSD,10.53,11.08,11.63,11.97,12.39
2023-03-10,USDCNH,7.68,8.08,8.48,8.73,9.04
2023-03-10,USDJPY,12.02,12.64,13.26,13.65,14.14
2023-03-13,AUDUSD,12.82,13.48,14.14,14.56,15.08
2023-03-13,EURUSD,9.02,9.48,9.95,10.24,10.60
2023-03-13,GBPUSD,10.82,11.38,11.94,12.29,12.73
2023-03-13,USDCNH,7.90,8.31,8.72,8.98,9.30
2023-03-13,USDJPY,12.32,12.95,13.59,13.99,14.49
2023-03-14,AUDUSD,12.58,13.23,13.88,14.29,14.80
2023-03-14,EURUSD,8.82,9.27,9.74,10.02,10.38
2023-03-14,GBPUSD,10.58,11.12,11.68,12.02,12.45
2023-03-14,USDCNH,7.71,8.11,8.51,8.76,9.07
2023-03-14,USDJPY,12.08,12.70,13.33,13.72,14.22
2023-03-15,AUDUSD,12.35,12.98,13.62,14.02,14.52
2023-03-15,EURUSD,8.61,9.05,9.50,9.78,10.13
2023-03-15,GBPUSD,10.33,10.86,11.40,11.74,12.16
2023-03-15,USDCNH,7.52,7.91,8.30,8.54,8.85
2023-03-15,USDJPY,11.82,12.43,13.04,13.42,13.91
2023-03-16,AUDUSD,12.08,12.70,13.32,13.72,14.21
2023-03-16,EURUSD,8.38,8.81,9.25,9.52,9.86
2023-03-16,GBPUSD,10.06,10.58,11.10,11.43,11.84
2023-03-16,USDCNH,7.31,7.69,8.07,8.31,8.60
2023-03-16,USDJPY,11.55,12.15,12.75,13.12,13.59
2023-03-17,AUDUSD,11.85,12.46,13.07,13.46,13.94
2023-03-17,EURUSD,8.18,8.60,9.03,9.29,9.62
2023-03-17,GBPUSD,9.82,10.33,10.84,11.16,11.55
2023-03-17,USDCNH,7.14,7.51,7.88,8.11,8.40
2023-03-17,USDJPY,11.32,11.90,12.49,12.86,13.32
2023-03-20,AUDUSD,11.62,12.22,12.82,13.20,13.67
2023-03-20,EURUSD,7.98,8.39,8.81,9.07,9.39
2023-03-20,GBPUSD,9.58,10.07,10.58,10.89,11.28
2023-03-20,USDCNH,6.95,7.31,7.67,7.90,8.18
2023-03-20,USDJPY,11.08,11.66,12.23,12.59,13.04
2023-03-21,AUDUSD,11.42,12.00,12.59,12.96,13.42
2023-03-21,EURUSD,7.81,8.21,8.62,8.87,9.19
2023-03-21,GBPUSD,9.37,9.85,10.34,10.65,11.03
2023-03-21,USDCNH,6.78,7.13,7.49,7.71,7.98
2023-03-21,USDJPY,10.88,11.44,12.01,12.36,12.80
2023-03-22,AUDUSD,11.25,11.83,12.41,12.78,13.24
2023-03-22,EURUSD,7.65,8.04,8.44,8.69,9.00
2023-03-22,GBPUSD,9.18,9.65,10.13,10.43,10.80
2023-03-22,USDCNH,6.62,6.96,7.31,7.52,7.79
2023-03-22,USDJPY,10.71,11.26,11.82,12.17,12.61
2023-03-23,AUDUSD,11.08,11.65,12.22,12.59,13.04
2023-03-23,EURUSD,7.51,7.90,8.29,8.54,8.84
2023-03-23,GBPUSD,9.02,9.48,9.95,10.24,10.60
2023-03-23,USDCNH,6.48,6.82,7.16,7.37,7.63
2023-03-23,USDJPY,10.55,11.10,11.65,11.99,12.42
2023-03-24,AUDUSD,10.92,11.48,12.04,12.40,12.84
2023-03-24,EURUSD,7.38,7.76,8.15,8.39,8.69
2023-03-24,GBPUSD,8.85,9.31,9.77,10.06,10.42
2023-03-24,USDCNH,6.35,6.68,7.01,7.22,7.47
2023-03-24,USDJPY,10.38,10.92,11.46,11.80,12.22
2023-03-27,AUDUSD,10.78,11.33,11.89,12.24,12.68
2023-03-27,EURUSD,7.25,7.63,8.01,8.24,8.53
2023-03-27,GBPUSD,8.70,9.15,9.61,9.89,10.24
2023-03-27,USDCNH,6.22,6.54,6.87,7.07,7.32
2023-03-27,USDJPY,10.24,10.77,11.30,11.63,12.05
2023-03-28,AUDUSD,10.62,11.17,11.71,12.06,12.49
2023-03-28,EURUSD,7.12,7.49,7.86,8.09,8.38
2023-03-28,GBPUSD,8.54,8.98,9.43,9.70,10.05
2023-03-28,USDCNH,6.10,6.42,6.74,6.93,7.18
2023-03-28,USDJPY,10.08,10.60,11.12,11.45,11.86
2023-03-29,AUDUSD,10.48,11.02,11.56,11.90,12.33
2023-03-29,EURUSD,7.01,7.37,7.74,7.97,8.25
2023-03-29,GBPUSD,8.41,8.85,9.29,9.56,9.90
2023-03-29,USDCNH,5.98,6.29,6.60,6.80,7.04
2023-03-29,USDJPY,9.95,10.46,10.98,11.30,11.71
2023-03-30,AUDUSD,10.35,10.88,11.41,11.75,12.17
2023-03-30,EURUSD,6.88,7.24,7.60,7.82,8.10
2023-03-30,GBPUSD,8.26,8.68,9.12,9.38,9.71
2023-03-30,USDCNH,5.88,6.18,6.49,6.68,6.92
2023-03-30,USDJPY,9.82,10.33,10.84,11.15,11.56
2023-03-31,AUDUSD,10.22,10.74,11.27,11.60,12.02
2023-03-31,EURUSD,6.78,7.13,7.48,7.70,7.98
2023-03-31,GBPUSD,8.13,8.55,8.98,9.24,9.56
2023-03-31,USDCNH,5.78,6.08,6.38,6.57,6.80
2023-03-31,USDJPY,9.68,10.18,10.68,11.00,11.40
2023-04-03,AUDUSD,10.08,10.60,11.12,11.45,11.86
2023-04-03,EURUSD,6.65,6.99,7.34,7.56,7.82
2023-04-03,GBPUSD,7.98,8.39,8.81,9.07,9.39
2023-04-03,USDCNH,5.65,5.95,6.24,6.43,6.65
2023-04-03,USDJPY,9.55,10.04,10.54,10.85,11.24
2023-04-04,AUDUSD,9.95,10.46,10.98,11.30,11.71
2023-04-04,EURUSD,6.55,6.89,7.23,7.44,7.70
2023-04-04,GBPUSD,7.86,8.26,8.68,8.93,9.25
2023-04-04,USDCNH,5.55,5.84,6.13,6.31,6.53
2023-04-04,USDJPY,9.42,9.90,10.40,10.70,11.09
2023-04-05,AUDUSD,9.82,10.33,10.84,11.16,11.56
2023-04-05,EURUSD,6.45,6.78,7.12,7.33,7.59
2023-04-05,GBPUSD,7.74,8.14,8.55,8.80,9.11
2023-04-05,USDCNH,5.45,5.74,6.02,6.20,6.42
2023-04-05,USDJPY,9.32,9.80,10.28,10.59,10.97
2023-04-06,AUDUSD,9.68,10.18,10.68,11.00,11.39
2023-04-06,EURUSD,6.35,6.68,7.01,7.21,7.47
2023-04-06,GBPUSD,7.62,8.01,8.41,8.66,8.97
2023-04-06,USDCNH,5.38,5.66,5.94,6.11,6.33
2023-04-06,USDJPY,9.18,9.66,10.14,10.44,10.81
2023-04-10,AUDUSD,9.55,10.04,10.54,10.85,11.24
2023-04-10,EURUSD,6.25,6.57,6.90,7.10,7.35
2023-04-10,GBPUSD,7.50,7.89,8.28,8.52,8.82
2023-04-10,USDCNH,5.28,5.55,5.83,6.00,6.21
2023-04-10,USDJPY,9.05,9.52,9.99,10.29,10.66
2023-04-11,AUDUSD,9.68,10.18,10.68,11.00,11.40
2023-04-11,EURUSD,6.38,6.71,7.04,7.25,7.51
2023-04-11,GBPUSD,7.66,8.06,8.46,8.71,9.02
2023-04-11,USDCNH,5.40,5.68,5.96,6.14,6.36
2023-04-11,USDJPY,9.21,9.69,10.17,10.47,10.85
2023-04-12,AUDUSD,9.82,10.33,10.84,11.16,11.56
2023-04-12,EURUSD,6.51,6.85,7.19,7.40,7.66
2023-04-12,GBPUSD,7.82,8.22,8.63,8.89,9.20
2023-04-12,USDCNH,5.52,5.81,6.10,6.28,6.50
2023-04-12,USDJPY,9.35,9.83,10.32,10.62,11.01
2023-04-13,AUDUSD,9.98,10.50,11.01,11.34,11.74
2023-04-13,EURUSD,6.65,6.99,7.34,7.56,7.82
2023-04-13,GBPUSD,7.98,8.39,8.81,9.07,9.39
2023-04-13,USDCNH,5.65,5.95,6.24,6.43,6.66
2023-04-13,USDJPY,9.51,10.01,10.50,10.82,11.20
2023-04-14,AUDUSD,10.15,10.67,11.20,11.53,11.94
2023-04-14,EURUSD,6.81,7.16,7.52,7.74,8.01
2023-04-14,GBPUSD,8.17,8.59,9.02,9.28,9.61
2023-04-14,USDCNH,5.78,6.08,6.39,6.57,6.80
2023-04-14,USDJPY,9.68,10.18,10.68,11.00,11.40
2023-04-17,AUDUSD,10.32,10.85,11.38,11.72,12.14
2023-04-17,EURUSD,6.95,7.31,7.67,7.90,8.18
2023-04-17,GBPUSD,8.34,8.77,9.21,9.48,9.81
2023-04-17,USDCNH,5.91,6.22,6.53,6.72,6.96
2023-04-17,USDJPY,9.85,10.36,10.87,11.19,11.60
2023-04-18,AUDUSD,10.48,11.02,11.56,11.90,12.33
2023-04-18,EURUSD,7.08,7.45,7.82,8.05,8.33
2023-04-18,GBPUSD,8.50,8.94,9.38,9.66,10.00
2023-04-18,USDCNH,6.05,6.36,6.68,6.88,7.12
2023-04-18,USDJPY,10.01,10.53,11.05,11.38,11.79
2023-04-19,AUDUSD,10.65,11.20,11.74,12.09,12.53
2023-04-19,EURUSD,7.22,7.59,7.97,8.20,8.49
2023-04-19,GBPUSD,8.66,9.11,9.56,9.84,10.19
2023-04-19,USDCNH,6.18,6.50,6.82,7.03,7.27
2023-04-19,USDJPY,10.18,10.70,11.23,11.57,11.98
2023-04-20,AUDUSD,10.82,11.38,11.93,12.29,12.73
2023-04-20,EURUSD,7.35,7.73,8.12,8.36,8.65
2023-04-20,GBPUSD,8.82,9.28,9.74,10.02,10.38
2023-04-20,USDCNH,6.32,6.65,6.98,7.18,7.44
2023-04-20,USDJPY,10.35,10.88,11.42,11.76,12.18
2023-04-21,AUDUSD,10.98,11.55,12.12,12.48,12.93
2023-04-21,EURUSD,7.48,7.87,8.26,8.50,8.80
2023-04-21,GBPUSD,8.98,9.44,9.91,10.21,10.57
2023-04-21,USDCNH,6.45,6.78,7.12,7.33,7.59
2023-04-21,USDJPY,10.52,11.06,11.61,11.95,12.38
2023-04-24,AUDUSD,11.15,11.72,12.30,12.67,13.12
2023-04-24,EURUSD,7.62,8.01,8.41,8.66,8.97
2023-04-24,GBPUSD,9.14,9.61,10.09,10.39,10.76
2023-04-24,USDCNH,6.58,6.92,7.27,7.48,7.75
2023-04-24,USDJPY,10.68,11.23,11.79,12.14,12.58
2023-04-25,AUDUSD,11.32,11.90,12.49,12.86,13.33
2023-04-25,EURUSD,7.75,8.15,8.56,8.81,9.12
2023-04-25,GBPUSD,9.30,9.78,10.27,10.57,10.95
2023-04-25,USDCNH,6.72,7.07,7.42,7.64,7.91
2023-04-25,USDJPY,10.85,11.41,11.98,12.33,12.78
2023-04-26,AUDUSD,11.48,12.07,12.67,13.04,13.51
2023-04-26,EURUSD,7.88,8.29,8.70,8.96,9.28
2023-04-26,GBPUSD,9.46,9.95,10.44,10.75,11.13
2023-04-26,USDCNH,6.85,7.21,7.57,7.79,8.06
2023-04-26,USDJPY,11.02,11.58,12.16,12.52,12.97
2023-04-27,AUDUSD,11.65,12.25,12.85,13.23,13.71
2023-04-27,EURUSD,8.02,8.43,8.86,9.11,9.43
2023-04-27,GBPUSD,9.62,10.12,10.62,10.93,11.32
2023-04-27,USDCNH,6.98,7.34,7.71,7.94,8.22
2023-04-27,USDJPY,11.18,11.76,12.34,12.71,13.17
2023-04-28,AUDUSD,11.82,12.43,13.04,13.42,13.91
2023-04-28,EURUSD,8.15,8.57,9.00,9.26,9.59
2023-04-28,GBPUSD,9.78,10.29,10.80,11.12,11.51
2023-04-28,USDCNH,7.12,7.49,7.86,8.09,8.38
2023-04-28,USDJPY,11.35,11.93,12.52,12.89,13.36
2023-05-01,AUDUSD,11.98,12.60,13.22,13.61,14.10
2023-05-01,EURUSD,8.28,8.71,9.14,9.41,9.74
2023-05-01,GBPUSD,9.94,10.45,10.97,11.30,11.70
2023-05-01,USDCNH,7.25,7.62,8.00,8.24,8.53
2023-05-01,USDJPY,11.52,12.11,12.71,13.08,13.55
2023-05-02,AUDUSD,11.82,12.43,13.04,13.42,13.91
2023-05-02,EURUSD,8.15,8.57,9.00,9.26,9.59
2023-05-02,GBPUSD,9.78,10.29,10.80,11.12,11.51
2023-05-02,USDCNH,7.12,7.49,7.86,8.09,8.38
2023-05-02,USDJPY,11.35,11.93,12.52,12.89,13.36
2023-05-03,AUDUSD,11.65,12.25,12.85,13.23,13.71
2023-05-03,EURUSD,8.02,8.43,8.86,9.11,9.44
2023-05-03,GBPUSD,9.62,10.12,10.62,10.93,11.32
2023-05-03,USDCNH,6.98,7.34,7.71,7.94,8.22
2023-05-03,USDJPY,11.18,11.76,12.34,12.71,13.17
2023-05-04,AUDUSD,11.48,12.07,12.67,13.04,13.51
2023-05-04,EURUSD,7.88,8.29,8.70,8.96,9.28
2023-05-04,GBPUSD,9.46,9.95,10.44,10.75,11.14
2023-05-04,USDCNH,6.85,7.21,7.57,7.79,8.07
2023-05-04,USDJPY,11.02,11.58,12.16,12.52,12.97
2023-05-05,AUDUSD,11.32,11.90,12.48,12.85,13.31
2023-05-05,EURUSD,7.75,8.15,8.56,8.81,9.12
2023-05-05,GBPUSD,9.30,9.78,10.27,10.57,10.95
2023-05-05,USDCNH,6.71,7.06,7.41,7.63,7.90
2023-05-05,USDJPY,10.85,11.41,11.97,12.33,12.77
2023-05-08,AUDUSD,11.15,11.72,12.30,12.66,13.11
2023-05-08,EURUSD,7.62,8.01,8.41,8.66,8.97
2023-05-08,GBPUSD,9.14,9.61,10.09,10.39,10.76
2023-05-08,USDCNH,6.58,6.92,7.27,7.48,7.75
2023-05-08,USDJPY,10.68,11.23,11.79,12.14,12.58
2023-05-09,AUDUSD,10.98,11.55,12.12,12.48,12.93
2023-05-09,EURUSD,7.48,7.87,8.26,8.50,8.80
2023-05-09,GBPUSD,8.98,9.44,9.92,10.21,10.57
2023-05-09,USDCNH,6.45,6.78,7.12,7.33,7.59
2023-05-09,USDJPY,10.52,11.06,11.61,11.95,12.38
2023-05-10,AUDUSD,10.82,11.38,11.93,12.29,12.73
2023-05-10,EURUSD,7.35,7.73,8.12,8.36,8.65
2023-05-10,GBPUSD,8.82,9.27,9.73,10.02,10.38
2023-05-10,USDCNH,6.32,6.65,6.98,7.18,7.44
2023-05-10,USDJPY,10.35,10.88,11.42,11.76,12.18
2023-05-11,AUDUSD,10.65,11.20,11.74,12.09,12.53
2023-05-11,EURUSD,7.22,7.59,7.97,8.20,8.49
2023-05-11,GBPUSD,8.66,9.11,9.56,9.84,10.19
2023-05-11,USDCNH,6.18,6.50,6.82,7.02,7.27
2023-05-11,USDJPY,10.18,10.70,11.23,11.56,11.98
2023-05-12,AUDUSD,10.48,11.02,11.56,11.90,12.33
2023-05-12,EURUSD,7.08,7.45,7.82,8.05,8.33
2023-05-12,GBPUSD,8.50,8.94,9.38,9.66,10.00
2023-05-12,USDCNH,6.05,6.36,6.68,6.88,7.12
2023-05-12,USDJPY,10.01,10.53,11.05,11.38,11.79
2023-05-15,AUDUSD,10.32,10.85,11.38,11.72,12.14
